Acinonyx jubatus		12.09						16.1					45.09																																														22.17																					44.87		14.04		7.28														26.35		
Mustela nigripes		41.58					48.34	27.1											8.47		36.92				34.14	5.2			42.74	7.23								25.44		47.28					5.52										18.02	9.1		14.05	26.56		42.18		21.0	6.37	40.57							39.16								38.46		46.38	46.69		43.53		10.15						2.35			7.65	10.91	10.22	7.37	
Mustela nivalis																																46.35																																																																				
Mustela nudipes																																																																																					43.84															
Mustela putorius																																																																																																				
Mustela russelliana							25.33																													41.45																					24.21	2.93															1.98			23.9			32.43	48.75												46.01						7.7	48.59	
Mustela sibirica																								44.98																																																																												
Mustela strigidorsa																			35.2																																																																																	
Mustela subpalmata																																																																																																				
Mustela tonkinensis																27.1													2.76															7.53													23.05			8.1					49.93				27.64		11.83			43.93		41.95	45.79																	42.25						
Mydaus javanensis								43.2																																																																																												
Mydaus marchei																																																																																																				
Nandinia binotata																																																																																																				
Nasua narica																																			39.84																																																										16.06							
Nasua nasua																																																																																																				
Nasuella meridensis	47.43												29.6	21.97	20.88		28.44																		31.99	0.34			2.57				13.4			7.02						10.25	38.45					3.03		48.68		4.04		31.81	2.99								4.86			30.76	21.99	9.59		18.26					21.73		49.56						23.8		17.72	31.79	16.98	49.76		
Nasuella olivacea																																																																																																				
Neofelis diardi							43.71																										44.3				41.23									33.6									43.07	48.29		47.93																								38.3						9.15		31.28						39.75				
Neofelis nebulosa																			8.74																			34.99			18.45												10.35																												28.17						17.4		24.33											
Neomonachus schauinslandi	9.25		23.91	4.94		39.95					16.45					14.65		40.86	30.01				34.23		33.53							33.66					5.68			31.84			48.48	22.36			16.19		49.18					34.99											49.49	8.39		18.89	3.66										49.29		49.67	6.11		40.21	10.62			11.48	18.2		46.09		20.65		23.91		16.56		40.48	
Neophoca cinerea	42.74		20.46	40.87							13.57	31.4	0.39				3.62	29.23					4.45	6.13		46.76			33.94		7.35	44.74	48.34				44.45				7.75	14.84		21.76										0.81			19.51			2.41		8.85					40.27				12.27			21.37					9.8	26.16				36.93					20.68	13.18			13.08							
Neovison vison																																																																																																				
Nyctereutes procyonoides																																																																																																				
Odobenus rosmarus										23.05							20.65			41.46																		22.2												16.64							43.83											32.86																							3.36					28.93				
Ommatophoca rossii																																																																																																				
Otaria byronia																																																																																																				
Otocolobus manul																																47.91																																																																			45.04	
Otocyon megalotis																																																																																																				
Pagophilus groenlandicus																																																																																																				
Paguma larvata																																																																																																				
Panthera leo	16.64						29.52																												26.19				42.09			22.53	19.92	19.26												37.85	24.28																			22.22																39.67	28.53							
Panthera onca	10.57																					28.75																																											31.09																																			
Panthera pardus												34.44																				12.54								9.67													17.99	32.67					49.66					48.84														22.63																						
Panthera tigris									27.3			48.01		27.94		22.08		24.99				34.81			32.32		32.59		4.03	11.35										48.8		2.11	24.91			7.71		47.87	44.96		6.38	23.73					11.85	27.03			13.15			7.24																	5.68				28.46		35.02			15.98					28.22		31.5			
Panthera uncia										42.2								48.72																			42.53																34.66		48.55							13.34							9.81		10.38								30.63																					
Paracynictis selousi																																																																																																				
Paradoxurus hermaphroditus																																																																																																				
Paradoxurus jerdoni																																																																																																				
Paradoxurus zeylonensis																																																																																									48.91											
Parahyaena brunnea																																	30.44																											38.21									11.48											40.55							44.54										36.98			
Pardofelis marmorata																																																																																										16.4										
Phoca largha																																																																																										10.34										
Phoca vitulina			30.86																																																																																																	
Phocarctos hookeri			34.47			6.22		40.8	6.64			20.27							10.87			22.56	25.07						13.85		11.3			35.28			37.64				12.34		33.34							12.55			42.84	35.73					29.27				15.67			3.52			31.25					34.94			20.69										27.64		40.67	13.18					26.3	7.45				8.58
Poecilogale albinucha																																																																																																				
Poiana leightoni	16.33																					24.36											21.2								29.71																37.67	49.4																																				28.89				41.23		
Poiana richardsonii																																																																																																				
Potos flavus																																																																																																				
Prionailurus bengalensis																																																47.21																			44.15																																	
Prionailurus planiceps		6.85			46.26		32.29	41.89									27.16		16.83				44.98	1.95	1.43	41.42	44.16		26.84									6.88	11.4		23.57		10.68							24.24		5.92		9.67					14.85				24.3	42.93	13.99		4.21													21.17				26.0									7.69					10.82		
Prionailurus rubiginosus																				17.07																																																																																
Prionailurus viverrinus							11.93					37.95				15.31																	11.3																											21.28															45.36																									
Prionodon linsang																																																																				44.77																																
Prionodon pardicolor																																																																																																		17.39		
Procyon cancrivorus																																																																																																				
Procyon lotor																																																																																																				
Procyon pygmaeus	1.67		7.58	9.71				13.73	3.45	19.41		22.0	11.47	8.52	8.17	1.95	9.6	5.42		28.9	40.13	2.08	7.01		20.16	17.54	0.1	6.67	7.2	37.29	22.17	17.57	10.98	23.8		8.22	41.88	45.06		45.76			8.59	17.28	4.01	10.14	18.81	28.23	1.75	18.78	1.7		5.62	3.07	17.59	32.13	11.18			14.99	39.27		37.72				0.14	16.93	43.84	9.41	0.85	22.4	40.85	38.34	15.44	8.31	13.54		12.17	0.66	3.23	2.42	4.33		12.57	19.95	8.9				19.28	27.08		0.16			8.67		3.45	
Proteles cristata																																																																																																				
Pteronura brasiliensis				17.74	7.2	2.03	28.01	22.46		28.56	21.71	44.82																		49.54		43.97		8.66		18.21								42.4				16.19			45.83	14.43								19.77		3.83						19.97			2.04									43.57				9.94			25.94							16.4		7.8	47.47			
Puma concolor										45.16																																																																																										
Pusa caspica		13.32	44.55			44.53										5.12								25.7					23.13	15.59		15.78						22.22			5.09	38.48			11.47		2.26			10.92		33.62		1.32		10.28		21.04		37.44	11.91				47.27				29.68	49.95						30.72	49.9				11.15	21.23	49.0	33.25	1.31			37.94				35.59					8.44	19.89		
Pusa hispida																																																																																																				
Pusa sibirica																																																																																																				
Rhynchogale melleri																																																																																																				
Salanoia concolor																						10.1									9.88					45.86																						33.87																											21.9		38.81													
Speothos venaticus			33.87				21.54	30.65																																				41.75																																													31.68											
Spilogale angustifrons																																																																																																				
Spilogale gracilis																																																																																																	44.6			
